tree,total_branch_length,Nigeria,Nigeria_random,Cameroon,Cameroon_random,Democratic Republic of the Congo,Democratic Republic of the Congo_random,Uganda,Uganda_random,Zambia,Zambia_random,Malawi,Malawi_random,Mozambique,Mozambique_random
0,0.0019042652656618086,0.00010519775986531262,6.705333237399646e-05,1.8001421948580804e-05,1.659362962653241e-05,9.408634913185489e-05,0.00010393770686023497,6.174988035476678e-05,1.9058784283218846e-05,5.682582814212208e-05,0.00013275153726100756,2.3200539619809037e-05,2.7802470692096792e-05,1.9955050439102433e-05,2.0740324188345868e-05
1,0.0019258709251954054,0.00010054802464866093,5.5025279240340915e-05,1.7236181116348165e-05,1.930011133962359e-05,0.00010689265572910527,8.091510380039144e-05,6.421146216075129e-05,2.2911259759451604e-05,5.441233103444009e-05,0.00013566810047521412,2.7126790707607392e-05,3.636073528506746e-05,1.9818785729523334e-05,2.2489965024175256e-05
2,0.0019032471822200015,0.00010004767959713467,5.765626950639106e-05,1.7547473756220153e-05,2.5347070487688386e-05,9.5757873199188e-05,0.00011060705407780883,6.318799420158253e-05,3.121134130216617e-05,5.986497136257086e-05,0.00011812309645899523,2.836373908743665e-05,2.9484848404601107e-05,2.0224972036989638e-05,1.659258375485257e-05
3,0.0019429685850674212,9.912713668280642e-05,7.65015994410327e-05,1.923498301135908e-05,2.0958298510415996e-05,9.922129776032446e-05,0.00013097684793083762,6.866257540654786e-05,2.243072913120348e-05,5.679925866306011e-05,0.00010064864745688482,2.7323380638791207e-05,2.971660913632791e-05,1.8691880103295297e-05,1.8573817642023125e-05
4,0.0018843116290735533,0.00010197295006028704,6.471338983787172e-05,1.7253124903811963e-05,1.6489596271882087e-05,9.389226755036461e-05,8.854479179707633e-05,6.760908487582116e-05,1.838845472413057e-05,5.331411264543383e-05,9.97059561176749e-05,2.737950468075412e-05,3.794123302929757e-05,1.677963706795218e-05,3.9761115734078924e-05
5,0.0019114433153205779,9.929571259253978e-05,5.136531414779268e-05,1.9690107601600965e-05,1.1058259491062306e-05,0.00010228759128712273,0.00014922223873467706,6.695996011714975e-05,2.3254371141209675e-05,5.1667980951893965e-05,0.00011902014701336118,2.81343743795048e-05,2.389603842732277e-05,1.671786338694383e-05,1.9599055068096486e-05
6,0.00190526938087813,0.00010449537432561978,4.7268215282627495e-05,1.9006193383893982e-05,1.3701185949255854e-05,9.972742363036189e-05,0.00011630712534028346,6.530662020701314e-05,2.4207173494095874e-05,5.553590139814298e-05,9.896996550571744e-05,2.6248670757332256e-05,2.9936042333673614e-05,1.7036525402700734e-05,1.3552972565111787e-05
7,0.001921344799307351,9.806033767800586e-05,7.161624456610916e-05,1.741247277861407e-05,1.8039701063361085e-05,0.00010551511428679382,0.00011622445236883147,6.010317485320542e-05,2.8776414632418782e-05,5.2795236878080964e-05,0.00012745350997832587,2.9236886811456276e-05,5.568260212935336e-05,2.3621876926902116e-05,1.3227564290276168e-05
8,0.0018691884959022944,9.406494929363593e-05,3.967807172826571e-05,1.7131240911069396e-05,6.559394619330434e-06,0.00010970203483959273,8.954877440685164e-05,5.9012963111817075e-05,1.2122601805746123e-05,4.8110949975034914e-05,0.00011289655816030717,2.586096532400991e-05,2.045932958009999e-05,1.8352147825148515e-05,1.2923112499796559e-05
9,0.0018928500153347302,0.00010025277619162757,4.844162420631357e-05,1.883532306529937e-05,1.3107767972553438e-05,9.519279899598571e-05,0.00010500809505138578,5.975752141220607e-05,2.8807291337841056e-05,5.1907569174177966e-05,0.00011725595473021278,2.7280717554468287e-05,3.7832197290097683e-05,1.69962211074117e-05,1.7202567665470202e-05
10,0.0018832420740103203,0.00010253125512101405,4.659936496841468e-05,1.9671883510308285e-05,2.826451751569573e-05,9.69016131684478e-05,9.493731777544074e-05,6.216650124845052e-05,2.3886200437068725e-05,4.692702757536538e-05,0.00010447245090957637,2.7690839116631567e-05,2.4512555639513755e-05,1.7723982574116342e-05,2.4237296505158186e-05
