Location,TL,TR,Primary,Phantom,deaths,sCh,,,,,,
AFR::CMR,1971-01-01,1971-12-31,TRUE,FALSE,336,2167,,,,,,
AFR::CMR,1972-01-01,1972-12-31,TRUE,FALSE,27,362,,,,,,
AFR::CMR,1973-01-01,1973-12-31,TRUE,FALSE,16,206,,,,,,
AFR::CMR,1974-01-01,1974-12-31,TRUE,FALSE,16,83,,,,,,
AFR::CMR,1975-01-01,1975-12-31,TRUE,FALSE,0,3,,,,,,
AFR::CMR,1976-01-01,1976-12-31,TRUE,FALSE,27,135,,,,,,
AFR::CMR,1978-01-01,1978-12-31,TRUE,FALSE,0,3,,,,,,
AFR::CMR,1979-01-01,1979-12-31,TRUE,FALSE,4,16,,,,,,
AFR::CMR,1980-01-01,1980-12-31,TRUE,FALSE,23,229,,,,,,
AFR::CMR,1981-01-01,1981-12-31,TRUE,FALSE,17,243,,,,,,
AFR::CMR,1982-01-01,1982-12-31,TRUE,FALSE,3,5,,,,,,
AFR::CMR,1983-01-01,1983-12-31,TRUE,FALSE,18,55,,,,,,
AFR::CMR,1984-01-01,1984-12-31,TRUE,FALSE,60,392,,,,,,
AFR::CMR,1985-01-01,1985-12-31,TRUE,FALSE,103,1158,,,,,,
AFR::CMR,1986-01-01,1986-12-31,TRUE,FALSE,12,165,,,,,,
AFR::CMR,1987-01-01,1987-12-31,TRUE,FALSE,6,94,,,,,,
AFR::CMR,1988-01-01,1988-12-31,TRUE,FALSE,0,4,,,,,,
AFR::CMR,1989-01-01,1989-12-31,TRUE,FALSE,2,4,,,,,,
AFR::CMR,1990-01-01,1990-12-31,TRUE,FALSE,0,16,,,,,,
AFR::CMR,1991-01-01,1991-12-31,TRUE,FALSE,491,4026,,,,,,
AFR::CMR,1992-01-01,1992-12-31,TRUE,FALSE,66,1268,,,,,,
AFR::CMR,1993-01-01,1993-12-31,TRUE,FALSE,19,648,,,,,,
AFR::CMR,1994-01-01,1994-12-31,TRUE,FALSE,61,527,,,,,,
AFR::CMR,1995-01-01,1995-12-31,TRUE,FALSE,21,615,,,,,,
AFR::CMR,1996-01-01,1996-12-31,TRUE,FALSE,485,5796,,,,,,
AFR::CMR,1997-01-01,1997-12-31,TRUE,FALSE,180,1709,,,,,,
AFR::CMR,1998-01-01,1998-12-31,TRUE,FALSE,316,4603,,,,,,
AFR::CMR,1999-01-01,1999-12-31,TRUE,FALSE,35,1584,,,,,,
AFR::CMR,2000-01-01,2000-12-31,TRUE,FALSE,29,123,,,,,,
AFR::CMR,2001-01-01,2001-12-31,TRUE,FALSE,7,259,,,,,,
AFR::CMR,2002-01-01,2002-12-31,TRUE,FALSE,8,66,,,,,,
AFR::CMR,2003-01-01,2003-12-31,TRUE,FALSE,36,207,,,,,,
AFR::CMR,2004-01-01,2004-12-31,TRUE,FALSE,137,8005,,,,,,
AFR::CMR,2005-01-01,2005-12-31,TRUE,FALSE,110,2847,,,,,,
AFR::CMR,2006-01-01,2006-12-31,TRUE,FALSE,35,922,,,,,,
AFR::CMR,2007-01-01,2007-12-31,TRUE,FALSE,1,10,,,,,,
AFR::CMR,2008-01-01,2008-12-31,TRUE,FALSE,0,0,,,,,,
AFR::CMR,2009-01-01,2009-12-31,TRUE,FALSE,89,804,,,,,,
AFR::CMR,2010-01-01,2010-12-31,TRUE,FALSE,657,10759,,,,,,
AFR::CMR,2011-01-01,2011-12-31,TRUE,FALSE,783,22433,,,,,,
AFR::CMR,2012-01-01,2012-12-31,TRUE,FALSE,5,363,,,,,,
AFR::CMR,2013-01-01,2013-12-31,TRUE,FALSE,0,29,,,,,,
AFR::CMR,2014-01-01,2014-12-31,TRUE,FALSE,184,3355,,,,,,
AFR::CMR,2015-01-01,2015-12-31,TRUE,FALSE,6,124,,,,,,
AFR::CMR,2017-01-01,2017-12-31,TRUE,FALSE,0,22,,,,,,
AFR::CMR,2018-01-01,2018-12-31,TRUE,FALSE,58,1052,,,,,,
AFR::CMR,2019-01-01,2019-12-31,TRUE,FALSE,93,1840,,,,,,
AFR::CMR,2020-01-01,2020-12-31,TRUE,FALSE,73,1890,,,,,,
AFR::CMR,2021-01-01,2021-12-31,TRUE,FALSE,23,728,,,,,,
AFR::CMR,2022-01-01,2022-12-31,TRUE,FALSE,279,14431,,,,,,
AFR::CMR,2023-01-01,2023-12-31,TRUE,FALSE,209,6450,,,,,,
AFR::CMR,2024-01-01,2024-12-31,TRUE,FALSE,0,75,,,,,,
AFR::COD,1978-01-01,1978-12-31,TRUE,FALSE,183,3481,,,,,,
AFR::COD,1979-01-01,1979-12-31,TRUE,FALSE,511,5515,,,,,,
AFR::COD,1980-01-01,1980-12-31,TRUE,FALSE,81,1051,,,,,,
AFR::COD,1981-01-01,1981-12-31,TRUE,FALSE,800,2379,,,,,,
AFR::COD,1982-01-01,1982-12-31,TRUE,FALSE,693,10328,,,,,,
AFR::COD,1983-01-01,1983-12-31,TRUE,FALSE,245,2977,,,,,,
AFR::COD,1984-01-01,1984-12-31,TRUE,FALSE,3,162,,,,,,
AFR::COD,1985-01-01,1985-12-31,TRUE,FALSE,30,740,,,,,,
AFR::COD,1986-01-01,1986-12-31,TRUE,FALSE,125,1059,,,,,,
AFR::COD,1987-01-01,1987-12-31,TRUE,FALSE,218,1150,,,,,,
AFR::COD,1988-01-01,1988-12-31,TRUE,FALSE,32,295,,,,,,
AFR::COD,1989-01-01,1989-12-31,TRUE,FALSE,6,99,,,,,,
AFR::COD,1990-01-01,1990-12-31,TRUE,FALSE,61,468,,,,,,
AFR::COD,1991-01-01,1991-12-31,TRUE,FALSE,294,4066,,,,,,
AFR::COD,1992-01-01,1992-12-31,TRUE,FALSE,59,1949,,,,,,
AFR::COD,1993-01-01,1993-12-31,TRUE,FALSE,175,986,,,,,,
AFR::COD,1994-01-01,1994-12-31,TRUE,FALSE,4181,58057,,,,,,
AFR::COD,1995-01-01,1995-12-31,TRUE,FALSE,22,553,,,,,,
AFR::COD,1996-01-01,1996-12-31,TRUE,FALSE,638,7886,,,,,,
AFR::COD,1997-01-01,1997-12-31,TRUE,FALSE,326,2421,,,,,,
AFR::COD,1998-01-01,1998-12-31,TRUE,FALSE,2926,34899,,,,,,
AFR::COD,1999-01-01,1999-12-31,TRUE,FALSE,783,12711,,,,,,
AFR::COD,2000-01-01,2000-12-31,TRUE,FALSE,941,14995,,,,,,
AFR::COD,2001-01-01,2001-12-31,TRUE,FALSE,390,5728,,,,,,
AFR::COD,2002-01-01,2002-12-31,TRUE,FALSE,1979,31658,,,,,,
AFR::COD,2003-01-01,2003-12-31,TRUE,FALSE,989,27272,,,,,,
AFR::COD,2004-01-01,2004-12-31,TRUE,FALSE,228,7665,,,,,,
AFR::COD,2005-01-01,2005-12-31,TRUE,FALSE,244,13430,,,,,,
AFR::COD,2006-01-01,2006-12-31,TRUE,FALSE,426,20642,,,,,,
